Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	2	2	2	2	2	a	a	a	a	a
Bacteria;Proteobacteria;Gammaproteobacteria	84.0	247.25	410.5	573.75	737.0	158.0	158.0	158.0	158.0	158.0
Bacteria;;	1.0	24.25	47.5	70.75	94.0	84.0	84.0	84.0	84.0	84.0
Bacteria;Nitrospirota;Nitrospiria	6.0	12.0	18.0	24.0	30.0	6.0	6.0	6.0	6.0	6.0
Bacteria;Firmicutes;Bacilli	1.0	6.25	11.5	16.75	22.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Patescibacteria;ABY1	1.0	9.5	18.0	26.5	35.0	39.0	39.0	39.0	39.0	39.0
Bacteria;Patescibacteria;Paceibacteria	1.0	10.25	19.5	28.75	38.0	47.0	47.0	47.0	47.0	47.0
Bacteria;Patescibacteria;	1.0	4.75	8.5	12.25	16.0	10.0	10.0	10.0	10.0	10.0
Bacteria;Omnitrophota;Koll11	25.0	38.75	52.5	66.25	80.0	21.0	21.0	21.0	21.0	21.0
Bacteria;Methylomirabilota;Methylomirabilia	1.0	6.75	12.5	18.25	24.0	19.0	19.0	19.0	19.0	19.0
Bacteria;Gemmatimonadota;Gemmatimonadetes	1.0	2.0	3.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Omnitrophota;Omnitrophia	1.0	7.75	14.5	21.25	28.0	26.0	26.0	26.0	26.0	26.0
Bacteria;Margulisbacteria;WOR-1	1.0	6.0	11.0	16.0	21.0	27.0	27.0	27.0	27.0	27.0
Bacteria;Nitrospirota;Thermodesulfovibrionia	10.0	37.25	64.5	91.75	119.0	139.0	139.0	139.0	139.0	139.0
Bacteria;Acidobacteriota;Mor1	1.0	2.0	3.0	4.0	5.0	18.0	18.0	18.0	18.0	18.0
Bacteria;Desulfobacterota;GWC2-55-46	1.0	3.0	5.0	7.0	9.0	8.0	8.0	8.0	8.0	8.0
Bacteria;Bacteroidota;Bacteroidia	1.0	4.25	7.5	10.75	14.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Desulfobacterota_E;MBNT15	1.0	4.5	8.0	11.5	15.0	9.0	9.0	9.0	9.0	9.0
Bacteria;Patescibacteria;Gracilibacteria	1.0	10.5	20.0	29.5	39.0	46.0	46.0	46.0	46.0	46.0
