	W	Reject null hypothesis
Bacteria;Desulfobacterota_E;MBNT15;MBNT15	2	False
Bacteria;Patescibacteria;ABY1;	2	False
Bacteria;Omnitrophota;Koll11;2-02-FULL-51-18	2	False
Bacteria;Patescibacteria;Paceibacteria;UBA10092	1	False
Bacteria;Patescibacteria;ABY1;SG8-24	1	False
Bacteria;Acidobacteriota;Mor1;Gp22-AA2	1	False
Bacteria;Omnitrophota;Koll11;UBA6215	1	False
Bacteria;Proteobacteria;Gammaproteobacteria;	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	0	False
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales	0	False
Bacteria;Omnitrophota;Koll11;GIF10	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales	0	False
Bacteria;Desulfobacterota;GWC2-55-46;GWC2-55-46	0	False
Bacteria;Nitrospirota;Thermodesulfovibrionia;UBA6902	0	False
Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales	0	False
Bacteria;Omnitrophota;Omnitrophia;Omnitrophales	0	False
Bacteria;Margulisbacteria;WOR-1;O2-12-FULL-45-9	0	False
Bacteria;;;	0	False
Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	0	False
Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales	0	False
Bacteria;Omnitrophota;Koll11;2-01-FULL-45-10	0	False
Bacteria;Patescibacteria;;	0	False
Bacteria;Patescibacteria;Paceibacteria;UBA9983	0	False
Bacteria;Patescibacteria;ABY1;BM507	0	False
Bacteria;Firmicutes;Bacilli;	0	False
Bacteria;Nitrospirota;Nitrospiria;Nitrospirales	0	False
Bacteria;Patescibacteria;Gracilibacteria;Peribacterales	0	False
