	W	Reject null hypothesis
Bacteria;Firmicutes;Bacilli;	19	True
Bacteria;Nitrospirota;Thermodesulfovibrionia;UBA6902	17	True
Bacteria;Nitrospirota;Nitrospiria;Nitrospirales	16	True
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	11	False
Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales	11	False
Bacteria;Patescibacteria;Paceibacteria;UBA10092	9	False
Bacteria;Patescibacteria;Gracilibacteria;Peribacterales	6	False
Bacteria;Patescibacteria;Paceibacteria;UBA9983	6	False
Bacteria;Desulfobacterota;GWC2-55-46;GWC2-55-46	5	False
Bacteria;Margulisbacteria;WOR-1;O2-12-FULL-45-9	5	False
Bacteria;Omnitrophota;Omnitrophia;Omnitrophales	5	False
Bacteria;Patescibacteria;ABY1;SG8-24	4	False
Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales	4	False
Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales	4	False
Bacteria;Patescibacteria;ABY1;BM507	4	False
Bacteria;Patescibacteria;ABY1;	3	False
Bacteria;Proteobacteria;Gammaproteobacteria;	3	False
Bacteria;Omnitrophota;Koll11;2-01-FULL-45-10	2	False
Bacteria;Omnitrophota;Koll11;UBA6215	1	False
Bacteria;Omnitrophota;Koll11;2-02-FULL-51-18	1	False
Bacteria;Patescibacteria;;	1	False
Bacteria;Omnitrophota;Koll11;GIF10	1	False
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales	1	False
Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	0	False
Bacteria;;;	0	False
Bacteria;Desulfobacterota_E;MBNT15;MBNT15	0	False
Bacteria;Acidobacteriota;Mor1;Gp22-AA2	0	False
